                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.6108,                 2.1167,                 1.2401,                 1.0828,                0.41512,                0.24396,                0.23211,                0.11918,                 0.2815,                0.19643,                0.17245,                0.07295,                  1.964,                 2.7279,                 2.1715,                 1.2474,              0.0012819,              0.0012819,              0.0012819
                     72,                 1.6046,                 2.1414,                 1.2293,                 1.0761,                 0.3213,                0.27001,                0.23431,                0.12162,                0.32577,                0.19494,                0.19118,                0.08082,                 2.0017,                 2.6734,                 2.1727,                 1.2685,              0.0012764,              0.0012764,              0.0012764
                     73,                 1.5965,                 2.0992,                 1.2002,                 1.0786,                0.33381,                0.28428,                0.24668,                0.12472,                0.30295,                0.20449,                0.19058,                0.08249,                 1.9794,                  2.795,                 1.9076,                 1.3461,              0.0012709,              0.0012709,              0.0012709
                     74,                 1.5633,                 2.0783,                 1.1523,                 1.0736,                0.40392,                0.24247,                0.20353,                0.09441,                0.34084,                0.19919,                0.15855,                0.06037,                 1.9223,                  2.694,                 2.5202,                  1.234,              0.0012654,              0.0012654,              0.0012654
                     75,                 1.6015,                 2.1166,                 1.2049,                 1.0723,                0.37353,                0.22907,                0.23227,                0.11345,                0.31403,                0.17074,                0.16849,                0.07048,                 2.0029,                 2.7708,                  2.169,                 1.2325,              0.0012599,              0.0012599,              0.0012599
                     76,                 1.5739,                 2.0706,                 1.1636,                  1.063,                0.35214,                0.24259,                0.20332,                0.10496,                0.28264,                0.20747,                0.17211,                0.07087,                 1.9546,                 2.8086,                 2.1583,                  1.244,              0.0012544,              0.0012544,              0.0012544
                     77,                 1.5673,                 2.0343,                 1.1579,                 1.0621,                0.33408,                0.23592,                0.18848,                0.09521,                0.26968,                0.16603,                0.14678,                0.05704,                 2.0575,                 2.8632,                 2.1622,                 1.2959,              0.0012489,              0.0012489,              0.0012489
                     78,                 1.5619,                 2.0718,                 1.1538,                 1.0656,                0.38418,                0.26033,                0.24778,                0.11857,                0.30852,                0.20921,                0.19783,                0.07166,                 1.9567,                 2.9083,                 2.0113,                  1.267,              0.0012434,              0.0012434,              0.0012434
                     79,                 1.5746,                 2.0832,                 1.1775,                 1.0694,                0.45933,                0.22956,                0.25649,                0.11835,                0.36483,                  0.174,                0.18517,                 0.0699,                 1.9776,                  2.897,                  2.158,                  1.252,              0.0012379,              0.0012379,              0.0012379
                     80,                 1.5545,                 2.0452,                  1.133,                 1.0583,                0.47819,                0.24569,                0.23898,                 0.1156,                 0.3712,                0.17881,                0.16646,                0.06061,                 2.0824,                 2.8144,                 2.1168,                 1.3529,              0.0012324,              0.0012324,              0.0012324
                     81,                 1.5666,                 2.0707,                 1.1464,                  1.064,                0.37605,                 0.2569,                0.22249,                 0.1066,                0.27071,                0.21082,                0.16753,                0.06689,                 2.0595,                  2.811,                 2.3218,                 1.3141,              0.0012269,              0.0012269,              0.0012269
                     82,                 1.5467,                 2.0401,                 1.1433,                 1.0617,                0.34469,                0.27436,                0.21641,                0.10562,                0.23423,                0.20909,                0.16229,                0.07055,                 2.1258,                 2.8891,                 2.1495,                 1.3493,              0.0012214,              0.0012214,              0.0012214
                     83,                 1.5134,                 1.9989,                 1.1128,                 1.0464,                 0.3701,                0.25653,                0.21622,                0.11137,                0.24458,                0.21243,                0.16293,                0.07135,                 2.0059,                 2.7186,                 2.2119,                 1.2965,              0.0012159,              0.0012159,              0.0012159
                     84,                 1.5572,                 2.0407,                 1.1375,                 1.0524,                0.38936,                0.28254,                0.24762,                0.12709,                0.25041,                0.21727,                0.16795,                0.06897,                 1.8926,                 2.6614,                 2.1042,                 1.2195,              0.0012104,              0.0012104,              0.0012104
                     85,                  1.496,                 2.0158,                   1.09,                 1.0399,                0.34399,                0.25664,                0.21556,                 0.1056,                0.28932,                0.19953,                0.17307,                0.06477,                 1.9753,                  2.702,                 2.5018,                  1.282,              0.0012049,              0.0012049,              0.0012049
                     86,                 1.5333,                 2.0814,                 1.1024,                 1.0503,                0.37768,                0.31729,                0.24877,                0.11593,                0.26333,                0.22683,                 0.1718,                0.06956,                 1.8902,                 2.6922,                 2.1273,                 1.2389,              0.0011994,              0.0011994,              0.0011994
                     87,                 1.5107,                 1.9592,                 1.1001,                 1.0346,                0.37923,                0.29371,                0.24383,                0.11804,                0.24678,                0.24732,                0.18096,                0.06993,                 1.9464,                 2.6203,                 2.3861,                 1.2388,              0.0011939,              0.0011939,              0.0011939
                     88,                  1.523,                 2.0191,                  1.107,                 1.0537,                0.36534,                0.24755,                0.20525,                0.10168,                0.32839,                 0.1968,                0.17957,                0.07209,                 2.0964,                 2.6032,                 2.0784,                 1.3597,              0.0011884,              0.0011884,              0.0011884
                     89,                 1.5092,                  2.019,                  1.102,                 1.0421,                0.36622,                0.25202,                0.21627,                0.10849,                0.23561,                0.22683,                0.17269,                0.06835,                 2.1616,                 2.7871,                 2.0611,                 1.4862,              0.0011829,              0.0011829,              0.0011829
                     90,                 1.5302,                 1.9972,                 1.0959,                  1.041,                0.31927,                0.27481,                0.22829,                 0.1126,                0.22807,                0.21298,                0.16735,                0.06897,                 2.1362,                 2.8379,                 1.9864,                 1.4237,              0.0011774,              0.0011774,              0.0011774
                     91,                 1.4961,                 1.9603,                  1.064,                 1.0272,                0.32207,                0.26803,                 0.2197,                0.11134,                0.24196,                0.20586,                0.16144,                0.06466,                 2.1954,                 2.7205,                 2.0394,                 1.4424,              0.0011719,              0.0011719,              0.0011719
                     92,                 1.4768,                 1.9549,                 1.0648,                  1.031,                0.32037,                0.26255,                0.21368,                0.11033,                0.34472,                0.15553,                0.15655,                0.06218,                 2.1697,                 2.8307,                 2.1538,                 1.4607,              0.0011664,              0.0011664,              0.0011664
                     93,                 1.4901,                 1.9768,                 1.0761,                 1.0386,                0.34087,                0.27758,                0.22244,                0.11137,                0.30568,                0.20759,                0.17512,                0.07225,                 2.0646,                 2.7261,                 2.0708,                 1.4203,              0.0011609,              0.0011609,              0.0011609
                     94,                 1.4818,                 1.9057,                 1.0574,                 1.0392,                0.35376,                0.26666,                0.22054,                0.11445,                0.28846,                0.21417,                0.17591,                0.07441,                  2.121,                 2.9985,                 1.9794,                 1.4254,              0.0011554,              0.0011554,              0.0011554
                     95,                 1.4923,                 1.9403,                 1.0581,                 1.0292,                0.39311,                0.27429,                0.21991,                0.11354,                0.29051,                0.19844,                0.16607,                0.06932,                 2.0683,                 2.9179,                  2.109,                 1.3312,              0.0011499,              0.0011499,              0.0011499
                     96,                 1.4765,                 1.9218,                 1.0466,                 1.0274,                0.38882,                0.27115,                0.22054,                0.10786,                 0.3549,                0.18621,                0.16926,                0.06775,                 2.1473,                 2.9769,                  2.084,                 1.4423,              0.0011444,              0.0011444,              0.0011444
                     97,                 1.4845,                 1.9832,                 1.0661,                 1.0314,                0.32858,                0.28389,                0.20643,                0.10212,                0.27483,                0.20276,                0.14294,                 0.0574,                 2.1155,                 2.7243,                 2.4023,                 1.3722,              0.0011389,              0.0011389,              0.0011389
                     98,                  1.473,                 1.9445,                 1.0456,                 1.0333,                0.35644,                0.26641,                0.22377,                0.11344,                0.23384,                0.18699,                0.17259,                0.06837,                  2.043,                 2.9746,                 2.2138,                 1.3637,              0.0011334,              0.0011334,              0.0011334
                     99,                 1.4595,                 1.9634,                 1.0327,                 1.0242,                0.32753,                0.28093,                  0.213,                0.10689,                0.25371,                0.20598,                0.16237,                0.06053,                 2.1542,                 2.8832,                 2.0225,                 1.4126,              0.0011279,              0.0011279,              0.0011279
                    100,                 1.4886,                 1.9639,                 1.0489,                 1.0323,                 0.3631,                0.28562,                0.22999,                0.12014,                0.29573,                0.23291,                0.18314,                0.06682,                 1.9973,                 2.9968,                 2.2811,                 1.2239,              0.0011224,              0.0011224,              0.0011224
                    101,                 1.4559,                 1.9103,                 1.0324,                 1.0193,                0.38819,                0.27287,                0.23109,                0.11717,                0.28217,                0.19506,                0.16629,                0.06123,                 1.9981,                 2.8975,                 2.1888,                 1.2665,              0.0011169,              0.0011169,              0.0011169
