                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.3353,                 0.9342,                 1.1832,                0.42523,                 0.2519,                0.23487,                0.12355,                 2.1261,                 2.4455,                 2.1305,             0.00095736,             0.00095736,             0.00095736
                    131,                 1.3405,                0.92675,                 1.1859,                0.38588,                0.23142,                0.23371,                0.11814,                  2.187,                 2.4202,                  2.198,             0.00095186,             0.00095186,             0.00095186
                    132,                 1.3546,                0.93715,                 1.2011,                0.31227,                 0.2921,                0.23218,                0.11543,                 2.1686,                 2.4295,                 2.1835,             0.00094636,             0.00094636,             0.00094636
                    133,                 1.3162,                0.91587,                 1.1831,                0.32617,                0.27952,                0.20779,                0.10094,                 2.1733,                   2.63,                  2.224,             0.00094085,             0.00094085,             0.00094085
                    134,                 1.3045,                0.92301,                 1.1798,                0.41744,                0.21058,                0.20842,                0.09999,                 2.2207,                 2.7775,                 2.2521,             0.00093535,             0.00093535,             0.00093535
                    135,                 1.2876,                0.90488,                 1.1817,                0.32305,                0.30302,                0.20762,                0.10255,                 2.2684,                 2.9051,                  2.225,             0.00092985,             0.00092985,             0.00092985
                    136,                 1.3181,                0.91083,                  1.194,                0.29698,                0.29359,                0.23277,                0.12115,                 2.1668,                 2.6773,                 2.1575,             0.00092435,             0.00092435,             0.00092435
                    137,                 1.3114,                0.90717,                 1.1771,                0.39128,                0.25996,                0.22743,                0.11467,                  2.182,                 2.4968,                 2.1084,             0.00091885,             0.00091885,             0.00091885
                    138,                 1.2784,                0.86717,                 1.1556,                0.40953,                0.27089,                 0.2424,                0.12363,                 2.2146,                 2.3617,                 2.2871,             0.00091335,             0.00091335,             0.00091335
                    139,                 1.2953,                0.88361,                 1.1726,                0.36327,                0.27274,                0.23594,                0.12049,                 2.1777,                 2.3619,                 2.1479,             0.00090785,             0.00090785,             0.00090785
                    140,                 1.3038,                0.91123,                 1.1833,                0.36866,                0.24247,                0.21512,                0.11647,                 2.1755,                 2.4214,                 2.1193,             0.00090235,             0.00090235,             0.00090235
                    141,                 1.3191,                0.92252,                 1.1954,                0.36684,                0.24516,                0.22539,                 0.1082,                 2.1499,                 2.4099,                 2.0318,             0.00089685,             0.00089685,             0.00089685
                    142,                 1.3059,                0.88963,                 1.1768,                0.41974,                0.25488,                0.23656,                 0.1229,                 2.2544,                 2.3103,                 2.2675,             0.00089134,             0.00089134,             0.00089134
                    143,                 1.2905,                0.89945,                 1.1803,                0.27629,                0.30376,                0.22911,                0.11581,                  2.199,                 2.4634,                 2.2048,             0.00088584,             0.00088584,             0.00088584
                    144,                 1.2488,                0.86228,                 1.1517,                0.27831,                0.29983,                 0.2183,                0.10381,                 2.1712,                 2.5979,                 2.1965,             0.00088034,             0.00088034,             0.00088034
                    145,                 1.2812,                0.87234,                  1.163,                0.39055,                0.27225,                0.22884,                0.11537,                 2.1696,                 2.4022,                 2.1457,             0.00087484,             0.00087484,             0.00087484
                    146,                   1.27,                 0.8691,                 1.1547,                0.30464,                0.30896,                0.23077,                 0.1092,                 2.1726,                 2.5734,                 2.2045,             0.00086934,             0.00086934,             0.00086934
                    147,                 1.3034,                 0.8977,                 1.1739,                0.35989,                0.28552,                 0.2402,                0.11951,                 2.1613,                 2.4388,                 2.1822,             0.00086384,             0.00086384,             0.00086384
